               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12658,            0.026105,            0.030737,           0.0074217,            0.022727,          0.00069388,          0.00012372,             0.11029,            0.024761,            0.029282,              0.0011,              0.0011,              0.0901
                   1,             0.10879,            0.023741,            0.027925,             0.24207,            0.022727,            0.012216,           0.0023738,             0.10002,            0.022246,            0.027215,           0.0022545,           0.0022545,            0.079254
                   2,            0.093257,            0.023189,             0.02525,           0.0019938,             0.13745,           0.0015095,          0.00034217,            0.089749,            0.019871,            0.023846,           0.0033614,           0.0033614,            0.068361
                   3,            0.079791,              0.0202,            0.022994,           0.0044668,              0.3961,           0.0042908,          0.00099521,             0.07925,            0.019432,            0.022803,           0.0044208,           0.0044208,            0.057421
                   4,            0.077981,            0.020156,            0.022282,            0.041225,            0.068182,            0.030772,           0.0072804,            0.076072,            0.018569,            0.021868,           0.0054327,           0.0054327,            0.046433
                   5,            0.071655,            0.022554,            0.019427,             0.11352,             0.15909,             0.07009,             0.01707,            0.066829,            0.017696,            0.013865,           0.0063971,           0.0063971,            0.035397
                   6,             0.07125,            0.019772,            0.016602,             0.13156,             0.55199,             0.18091,            0.051927,            0.069306,            0.016421,            0.010662,            0.007314,            0.007314,            0.024314
                   7,            0.072404,            0.017761,            0.013666,            0.099519,             0.57359,             0.11785,            0.026853,            0.079068,            0.014244,           0.0069458,           0.0081833,           0.0081833,            0.013183
                   8,            0.070869,            0.017999,            0.010976,             0.45329,             0.50974,             0.37968,             0.16427,            0.089544,            0.012443,           0.0096853,            0.008416,            0.008416,            0.008416
                   9,            0.072729,            0.016816,             0.01103,             0.76661,             0.57701,             0.71868,             0.34084,            0.067164,            0.014872,           0.0066626,            0.008416,            0.008416,            0.008416
                  10,             0.06028,            0.018784,            0.010655,             0.44831,             0.69481,             0.57469,             0.14096,            0.064517,            0.014142,           0.0043497,            0.008218,            0.008218,            0.008218
                  11,             0.05945,            0.017257,           0.0079261,             0.54725,             0.60462,             0.60963,             0.34888,            0.063016,            0.013955,           0.0037669,             0.00802,             0.00802,             0.00802
                  12,            0.060343,            0.015629,           0.0071845,             0.65818,             0.56083,             0.54907,             0.31157,            0.054835,            0.013712,           0.0038176,            0.007822,            0.007822,            0.007822
                  13,              0.0463,            0.015977,           0.0069424,             0.52415,             0.93112,             0.75738,             0.37352,            0.052401,             0.01195,           0.0036141,            0.007624,            0.007624,            0.007624
                  14,            0.048784,             0.01367,           0.0057924,              0.5702,             0.94951,             0.78589,             0.34727,            0.046415,            0.012523,            0.003329,            0.007426,            0.007426,            0.007426
                  15,            0.046688,            0.012993,           0.0043675,             0.65348,              0.8842,             0.83361,             0.42128,            0.048834,             0.01194,           0.0025157,            0.007228,            0.007228,            0.007228
                  16,            0.050052,            0.013603,           0.0037481,             0.79286,             0.90662,             0.86148,             0.37325,            0.045678,             0.01186,           0.0025214,             0.00703,             0.00703,             0.00703
                  17,            0.040655,            0.012871,           0.0043548,             0.77114,             0.84656,             0.88051,             0.59911,            0.038164,            0.011726,           0.0027799,            0.006832,            0.006832,            0.006832
                  18,            0.048847,            0.011337,           0.0038169,             0.71062,             0.95406,              0.8688,             0.45231,            0.037032,            0.011065,           0.0025011,            0.006634,            0.006634,            0.006634
                  19,            0.039571,            0.012544,           0.0035608,                   1,             0.97208,             0.99333,             0.65908,            0.035272,            0.010176,           0.0020086,            0.006436,            0.006436,            0.006436
                  20,            0.036892,            0.011368,           0.0024668,             0.88674,             0.97619,             0.97391,             0.69343,            0.033817,           0.0097662,           0.0020327,            0.006238,            0.006238,            0.006238
                  21,            0.035023,            0.012065,           0.0030449,             0.79993,             0.93554,             0.95644,             0.70213,            0.026739,            0.010201,           0.0027363,             0.00604,             0.00604,             0.00604
                  22,            0.034434,            0.011852,           0.0032832,             0.89919,             0.90738,             0.93785,             0.56372,            0.031501,           0.0092311,           0.0023177,            0.005842,            0.005842,            0.005842
                  23,            0.037126,           0.0095435,           0.0031406,             0.97063,              0.9304,             0.97995,             0.76157,            0.028167,           0.0087073,           0.0022305,            0.005644,            0.005644,            0.005644
