               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.019338,           0.0059756,           0.0012918,             0.99841,                   1,               0.995,             0.86423,            0.016052,           0.0053086,           0.0011682,             0.00307,             0.00307,             0.00307
                  37,            0.018672,           0.0059462,           0.0013003,             0.99679,                   1,               0.995,             0.84267,            0.017395,           0.0052733,           0.0011538,            0.002872,            0.002872,            0.002872
                  38,            0.022184,           0.0059213,           0.0013065,             0.99357,             0.99999,               0.995,             0.80759,            0.016663,           0.0052878,            0.001196,            0.002674,            0.002674,            0.002674
                  39,            0.020088,           0.0055219,           0.0013103,             0.99154,                   1,               0.995,             0.79988,            0.017874,           0.0052237,           0.0011868,            0.002476,            0.002476,            0.002476
                  40,            0.019432,           0.0061165,           0.0011702,             0.99668,                   1,               0.995,             0.84599,            0.015956,           0.0051316,           0.0011165,            0.002278,            0.002278,            0.002278
                  41,            0.016942,           0.0056086,            0.001094,             0.99958,                   1,               0.995,               0.853,            0.016562,           0.0050017,          0.00096144,             0.00208,             0.00208,             0.00208
                  42,            0.017673,           0.0054871,           0.0009277,             0.99904,                   1,               0.995,             0.87317,            0.015708,           0.0049614,          0.00091773,            0.001882,            0.001882,            0.001882
                  43,            0.017994,           0.0051936,          0.00086957,             0.99943,                   1,               0.995,             0.86791,            0.014088,            0.004891,          0.00083436,            0.001684,            0.001684,            0.001684
                  44,             0.01569,           0.0053369,          0.00088588,             0.99917,                   1,               0.995,             0.92255,            0.011424,            0.004741,           0.0008059,            0.001486,            0.001486,            0.001486
                  45,            0.012985,           0.0053124,          0.00084556,             0.99797,                   1,               0.995,             0.91061,            0.010572,           0.0047209,          0.00074542,            0.001288,            0.001288,            0.001288
                  46,            0.013516,           0.0049254,          0.00065131,             0.99776,                   1,               0.995,             0.91106,            0.010305,           0.0046579,          0.00069005,             0.00109,             0.00109,             0.00109
                  47,            0.012916,           0.0054579,          0.00070967,              0.9978,                   1,               0.995,             0.91349,            0.010245,           0.0045917,          0.00064008,            0.000892,            0.000892,            0.000892
                  48,            0.012547,           0.0052451,          0.00066565,             0.99813,                   1,               0.995,             0.92285,           0.0096613,           0.0045614,          0.00061256,            0.000694,            0.000694,            0.000694
                  49,            0.011648,           0.0054624,          0.00065062,             0.99811,                   1,               0.995,             0.91766,           0.0093231,           0.0045411,          0.00057656,            0.000496,            0.000496,            0.000496
